Job Name,Count
['employé t. l.'],1, intermediaire
['employé téléphoniste'],1, intermediaire
['employé île banque'],1, intermediaire
"['employé,', ', 17.']",1, intermediaire
['employé.'],1, proletaire
['employéau téléphone'],1, intermediaire
['employéau téléphoné'],1, intermediaire
['employéaux casernes'],1, intermediaire
['employéde banque'],1, intermediaire
['employéde commerce'],1, proletaire
['employée bureau'],1, intermediaire
['employée de comm'],1, proletaire
['employée de commerce'],1, proletaire
['employée postale'],1, intermediaire
"['employée,']",1, proletaire
['employéla chancellerie'],1, intermediaire
['employés. o.-s.'],1, intermediaire
"['employétrams,']",1, intermediaire
"['employétéléphone,']",1, intermediaire
['encadreur'],1, proletaire
['encaiss'],1, proletaire
['entr'],1, ???
"['entrep., admin.autobus lausannois']",1, commerce
['entrepr.'],1, intermediaire
['entrepren'],1, intermediaire
['epicerie'],1, commerce
['euip'],1, ???
['exp.-comp-table'],1, élevé
"['exp.-comptable,']",1, élevé
['expert-compt'],1, élevé
['expertcompt.'],1, élevé
['f. de ch'],1, proletaire
['f. de salle'],1, proletaire
['f.cs clochetons'],1, proletaire
"['f^u«rab. et', 'pierre richard']",1, ???
['fabr. d’articles en métal'],1, commerce
"['fabric', 'chaussures']",1, proletaire
['fabricant'],1, intermediaire
['fabrique de thermomètres métall'],1, intermediaire
['fabrique d’aiguilles hypodermiques'],1, intermediaire
['fact'],1, proletaire
"['fact, postal']",1, proletaire
['facteur post'],1, proletaire
['facteur retr'],1, proletaire
"['fahr, de bijouterie']",1, proletaire
['femme du ménage'],1, proletaire
"['ferbl.-concierge,']",1, proletaire
['ferblant'],1, proletaire
['ferblant.. maisonhaller'],1, proletaire
['fermier'],1, proletaire
['ferrailleur'],1, proletaire
['fille d’office'],1, proletaire
"['fils', 'emp. decommerce,']",1, proletaire
['fleur'],1, proletaire
['fonct. fédéral'],1, intermediaire
['fonct. postal'],1, intermediaire
['fonctionnaire'],1, intermediaire
['fond'],1, proletaire
"['fondé pouvoir,']",1, ???
['fontainier'],1, proletaire
['fournitures p. imprimeries'],1, proletaire
['fourrures'],1, proletaire
"['françois', 'tapissier']",1, proletaire
['frigos'],1, proletaire
['fripière'],1, proletaire
"['fritz', 'tailleur']",1, proletaire
['fruits et légumes'],1, proletaire
['g. de laboratoire'],1, proletaire
['g. de mag'],1, proletaire
['g. d’off'],1, proletaire
['g. laitier'],1, proletaire
